"List of Pending Item "
Quantity," Unit"," Item"
250," box"," FASTENER METAL "
20," piece"," FOLDER GREEN"
77," box"," RUBBER BAND SMALL"
38," roll"," TAPE PACKING 2'"
6," piece"," HP INK 704 BLACK"
9," piece"," HP INK 704 COLORED"
