"List of Pending Item (Sep 1 2014 to Jan 8 2015)"
Quantity," Unit"," Item"
110," piece"," Orion Ruler"
130," pack"," Lucky Me Instant Noodles"
100," bottle"," Coleman Water Jug"
65," piece"," Sledge Hammer"
7," piece"," Telephone"
