"List of Pending Item "
Quantity," Unit"," Item"
935," ream"," BOND PAPER LONG "
205," piece"," FOLDER GREEN"
250," piece"," FOLDER LONG"
495," ream"," NEWSPRINT SHORT"
3," piece"," HP TONER 85A"
2," piece"," HP TONER 05A"
1," piece"," HP TONER 12A"
13," piece"," EPSON BLACK INK T6641"
